"Department","Semester","Course Code","Course Name","L","T","P","S","C","Faculty","Enrolled_students","class_connector"
"CSE","6B","B2","Introduction to 5G Network","3","1","0","0","4","Dr. Jagadeesha R Bhat","25","14"
"CSE","6B","B2","Model Checking","3","1","0","0","4","Dr. Pavan","25","15"
"CSE","6B","B2","Quantum Communication","3","1","0","0","4","Dr. Aswath B","25","16"
"CSE","6B","B2","Quantum HPC and AI","3","1","0","0","4","Dr. Manish M (Dr. Aswath)","25","17"
"CSE","6B","B2","Design Thinking and Innovation","3","1","0","0","4","Dr. Sandesh P","25","18"
"CSE","6B","B3","Automotive Embedded and Multimedia Systems","3","1","0","0","4","Mr. Jagadeesh K (Dr Sibasankar Padhy)","25","19"
"CSE","6B","B3","Microwave Engineering","3","1","0","0","4","Dr. Somen","25","20"
"CSE","6B","B3","Computer Graphics","3","1","0","0","4","Dr. Vivekraj V K","25","21"
"CSE","6B","B3","Machine learning","3","1","0","0","4","Dr. Deepak KT","25","22"
"CSE","6B","B3","Virtualization and Cloud Computing","3","1","0","0","4","Dr Malay","25","23"
"CSE","6B","B4","Data Analytics and Visualization","3","1","0","0","4","Dr. Sunil CK","25","24"
"CSE","6B","B4","Statistics for Health Technology","3","1","0","0","4","Dr. Ramesh Athe","25","25"
"CSE","6B","B4","Medical Image Analysis","3","1","0","0","4","Dr. Girish GN","25","26"
"CSE","6B","B4","Bioinformatics","3","1","0","0","4","Dr. Sunil Kumar PV","25","27"
"CSE","6B","Mini Project 1","Mini Project 1","0","0","0","8","2","Pramod Yelmewad and Animesh Roy","70",""
"CSE","8","CS499","Major-Project","0","0","0","32","8","Dr. Pramod Yelmewad and Dr. Animesh Roy","70",""
"DSAI","2","MA163","Linear Algebra","3","1","0","0","2","Dr. Sibasankar Padhy","70",""
"DSAI","2","HS161","HSS / IE-Economics","3","0","0","0","3","Dr.Manjunath KV","70",""
"DSAI","2","CS163","Data Structures & Algorithms","3","0","2","0","4","Dr. Sunil Saumya","70",""
"DSAI","2","DS164","Data Curation Techniques","2","0","2","0","3","Dr. Siddharth R","70",""
"DSAI","2","B1(ASD151/HS151/New/New/New/New)","Introduction to Design","1.50","1","0","0","2","Dr. Sandesh P","25","1"
"DSAI","2","B1(ASD151/HS151/New/New/New/New)","Introduction to Personal Finance","1.50","1","0","0","2","Dr. Siddharth","25","2"
"DSAI","2","B1(ASD151/HS151/New/New/New/New)","Introduction to Internet of Things","1.50","1","0","0","2","Dr Jagadeesha Bhat","25","3"
"DSAI","2","B1(ASD151/HS151/New/New/New/New)","Concurrency and Computation","1.50","1","0","0","2","Dr Pramod Y","25","4"
"DSAI","2","B1(ASD151/HS151/New/New/New/New)","Computer Intensive Statistical Methods","1.50","1","0","0","2","Dr Ramesh Athe","25","5"
"DSAI","2","B1(ASD151/HS151/New/New/New/New)","Industry Insights Program Part 1","1.50","1","0","0","2","Mr. Ram Subramanian & Mr. Sasi Kumar Sundara Rajan","25","6"
"DSAI","4","MA202","Linear Algebra","3","1","0","0","4","Dr. Chinmayananda","70",""
"DSAI","4","HS206","Industrial Social Psychology","3","0","0","0","3","Dr. Navyashree","70",""
"DSAI","4","CS204","Operating Systems","3","1","0","0","4","Dr. Manjunath KV","70",""
"DSAI","4","DS204","Software Engineering and Services","3","0","2","0","4","Dr. Animesh Chaturvedi","70",""
"DSAI","4","CS310","Database Management System","3","1","2","0","5","Dr. Shirshendu & Dr. Utkarsh Khaire","70",""
"DSAI","4","DS205","Global Business Perspectives","3","0","0","0","3","Mr. Manmohan Singh","70",""
"DSAI","6","DS309","Cloud Computing","3","0","0","4","4","Dr. Animesh Chaturvedi","70",""
"DSAI","6","DS306","Financial Data Analytics","3","0","0","4","4","Dr. Utkarsh Khaire","70",""
"DSAI","6","DS307","Innovation & Entrepreneurship","3","1","0","0","4","Mr. Ram Subramanian","70",""
"DSAI","6","DS308","Data Security & Privacy","3","1","0","0","4","Dr. Abdul Wahid & Dr. Rajendra Hegadi","70",""
"DSAI","6","DS399","Mini Project-I","0","0","0","8","2","Coordinator: Dr. Shirshendu","70",""
"DSAI","6","HS101","Environmental Studies","0","0","0","5","2","-","70",""
"DSAI","6","B1","Deep Learning for Computer Vision","3","1","0","0","4","Dr. Chinmayanand","25","8"
"DSAI","6","B1","Large Language Models","3","1","0","0","4","Dr. Sunil S","25","9"
"DSAI","6","B1","Natural Language Processing","3","1","0","0","4","Dr. Krishnendu","25","10"
"DSAI","6","B1","Deep Speech Processing","3","1","0","0","4","Prof. SRM Prasanna","25","11"
